document,model,mode,gold,verdict,correct
model_card_compliant_one_out,llama3.1-8b,graphrag,non-compliant,non-compliant,True
model_card_compliant_one_out,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
model_card_compliant_one_out,mistral-7b,bypass,non-compliant,non-compliant,True
model_card_compliant_one_out,mistral-7b,graphrag,non-compliant,non-compliant,True
model_card_compliant_one_out,mistral-7b,zeroshot,non-compliant,non-compliant,True
model_card_compliant_one_out,qwen2.5-14b,bypass,non-compliant,non-compliant,True
model_card_compliant_one_out,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
model_card_compliant_one_out,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
model_card_compliant_one_out,qwen2.5-7b,bypass,non-compliant,non-compliant,True
model_card_compliant_one_out,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
model_card_compliant_one_out,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
model_card_noncompliant,baseline-keyword,graphrag,non-compliant,non-compliant,True
model_card_noncompliant,gemma4-e4b,bypass,non-compliant,non-compliant,True
model_card_noncompliant,gemma4-e4b,graphrag,non-compliant,non-compliant,True
model_card_noncompliant,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
model_card_noncompliant,llama3.1-8b,bypass,non-compliant,non-compliant,True
model_card_noncompliant,llama3.1-8b,graphrag,non-compliant,non-compliant,True
model_card_noncompliant,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
model_card_noncompliant,mistral-7b,bypass,non-compliant,non-compliant,True
model_card_noncompliant,mistral-7b,graphrag,non-compliant,non-compliant,True
model_card_noncompliant,mistral-7b,zeroshot,non-compliant,non-compliant,True
model_card_noncompliant,qwen2.5-14b,bypass,non-compliant,non-compliant,True
model_card_noncompliant,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
model_card_noncompliant,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
model_card_noncompliant,qwen2.5-7b,bypass,non-compliant,non-compliant,True
model_card_noncompliant,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
model_card_noncompliant,qwen2.5-7b,graphrag_stripped,non-compliant,compliant,False
model_card_noncompliant,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
sultan__BioM-ELECTRA-Large-SQuAD2_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,baseline-keyword,graphrag,non-compliant,compliant,False
synthetic__creditscore_pro_v3_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
synthetic__creditscore_pro_v3_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
synthetic__druginteract_v1_annex_iv,baseline-keyword,graphrag,compliant,compliant,True
synthetic__druginteract_v1_annex_iv,gemma4-e4b,bypass,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,gemma4-e4b,graphrag,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,gemma4-e4b,zeroshot,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,llama3.1-8b,bypass,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,llama3.1-8b,graphrag,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,llama3.1-8b,zeroshot,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,mistral-7b,bypass,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,mistral-7b,graphrag,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,mistral-7b,zeroshot,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,qwen2.5-14b,bypass,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,qwen2.5-14b,graphrag,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,qwen2.5-14b,zeroshot,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,qwen2.5-7b,bypass,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,qwen2.5-7b,graphrag,compliant,non-compliant,False
synthetic__druginteract_v1_annex_iv,qwen2.5-7b,zeroshot,compliant,non-compliant,False
synthetic__edurank_v2_annex_iv,baseline-keyword,graphrag,non-compliant,compliant,False
synthetic__edurank_v2_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
synthetic__edurank_v2_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
synthetic__faceid_law_v2_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
synthetic__fraudguard_v2_small_headers_annex_iv,baseline-keyword,graphrag,compliant,compliant,True
synthetic__fraudguard_v2_small_headers_annex_iv,gemma4-e4b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,gemma4-e4b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,gemma4-e4b,graphrag_stripped,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,gemma4-e4b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,llama3.1-8b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,llama3.1-8b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,llama3.1-8b,graphrag_stripped,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,llama3.1-8b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,mistral-7b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,mistral-7b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,mistral-7b,graphrag_stripped,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,mistral-7b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-14b,bypass,compliant,compliant,True
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-14b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-14b,graphrag_stripped,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-14b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-7b,bypass,compliant,compliant,True
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-7b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-7b,graphrag_stripped,compliant,non-compliant,False
synthetic__fraudguard_v2_small_headers_annex_iv,qwen2.5-7b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,baseline-keyword,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,gemma4-e4b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,gemma4-e4b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,gemma4-e4b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,llama3.1-8b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,llama3.1-8b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,llama3.1-8b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,mistral-7b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,mistral-7b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,mistral-7b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,qwen2.5-14b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,qwen2.5-14b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,qwen2.5-14b,zeroshot,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,qwen2.5-7b,bypass,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,qwen2.5-7b,graphrag,compliant,non-compliant,False
synthetic__fraudguard_v2_small_noheaders_annex_iv,qwen2.5-7b,zeroshot,compliant,non-compliant,False
synthetic__insureai_v1_5_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
synthetic__insureai_v1_5_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,baseline-keyword,graphrag,non-compliant,compliant,False
synthetic__sepsisai_v3_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
synthetic__sepsisai_v3_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
synthetic__toximod_v2_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
techops_raw_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
techops_raw_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
techops_raw_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
techops_raw_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
techops_raw_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
techops_raw_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
techops_raw_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
techops_raw_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
techops_raw_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
techops_raw_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
techops_raw_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
techops_raw_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
techops_raw_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
techops_raw_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
techops_raw_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
techops_raw_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
